Index: S&P/TSX Composite Index
Total Number of Constituents: 229
Data as of April 23rd 2021

Constituent Name,Symbol
AcuityAds Holdings Inc.,AT
Aecon Group Inc.,ARE
Agnico Eagle Mines Limited,AEM
Air Canada Voting and Variable Voting Shares,AC
Alamos Gold Inc.,AGI
Algonquin Power & Utilities Corp.,AQN
Alimentation Couche-Tard Inc. Class B Subordinate Voting Shares,ATD.B
Allied Properties Real Estate Investment Trust,AP.UN
AltaGas Ltd.,ALA
Altus Group Limited,AIF
Aphria Inc.,APHA
ARC Resources Ltd.,ARX
Aritzia Inc. Subordinate Voting Shares,ATZ
Artis Real Estate Investment Trust,AX.UN
ATCO Ltd. Class I Non-voting Shares,ACO.X
ATS Automation Tooling Systems Inc.,ATA
Aurinia Pharmaceuticals Inc.,AUP
Aurora Cannabis Inc.,ACB
B2Gold Corp.,BTO
Badger Daylighting Ltd.,BAD
Ballard Power Systems Inc.,BLDP
Bank of Montreal,BMO
Bank of Nova Scotia (The),BNS
Barrick Gold Corporation,ABX
Bausch Health Companies Inc.,BHC
BCE Inc.,BCE
BlackBerry Limited,BB
Boardwalk Real Estate Investment Trust,BEI.UN
Boralex Inc. Class A Shares,BLX
Boyd Group Services Inc.,BYD
Brookfield Asset Management Inc. Class A Limited Voting Shares,BAM.A
Brookfield Business Partners L.P.,BBU.UN
Brookfield Infrastructure Partners L.P.,BIP.UN
Brookfield Property Partners L.P.,BPY.UN
Brookfield Renewable Partners L.P.,BEP.UN
BRP Inc. Subordinate Voting Shares,DOO
CAE Inc.,CAE
Cameco Corporation,CCO
Canaccord Genuity Group Inc.,CF
Canada Goose Holdings Inc. Subordinate Voting Shares,GOOS
Canadian Apartment Properties Real Estate Investment Trust,CAR.UN
Canadian Imperial Bank Of Commerce,CM
Canadian National Railway Company,CNR
Canadian Natural Resources Limited,CNQ
Canadian Pacific Railway Limited,CP
Canadian Tire Corporation Limited Class A Non-Voting Shares,CTC.A
Canadian Utilities Limited Class A Non-Voting Shares,CU
Canadian Western Bank,CWB
Canfor Corporation,CFP
Canopy Growth Corporation,WEED
Capital Power Corporation,CPX
Cargojet Inc. Common and Variable Voting Shares,CJT
Cascades Inc.,CAS
CCL Industries Inc. Unlimited Class B Non-Voting Shares,CCL.B
Celestica Inc. Subordinate Voting Shares,CLS
Cenovus Energy Inc.,CVE
Centerra Gold Inc.,CG
CGI Inc. Class A Subordinate  Voting Shares,GIB.A
Chartwell Retirement Residences,CSH.UN
Choice Properties Real Estate Investment Trust,CHP.UN
CI Financial Corp.,CIX
Cogeco Communications Inc. Subordinate Voting Shares,CCA
Colliers International Group Inc. Subordinate Voting Shares,CIGI
Cominar Real Estate Investment Trust,CUF.UN
Constellation Software Inc.,CSU
Corus Entertainment Inc. Class B Non-Voting Shares,CJR.B
Crescent Point Energy Corp.,CPG
Crombie Real Estate Investment Trust,CRR.UN
Cronos Group Inc.,CRON
CT Real Estate Investment Trust,CRT.UN
Denison Mines Corp.,DML
Descartes Systems Group Inc. (The),DSG
Dollarama Inc.,DOL
Dream Industrial Real Estate Investment Trust,DIR.UN
Dream Office Real Estate Investment Trust,D.UN
Dundee Precious Metals Inc.,DPM
Dye & Durham Limited,DND
ECN Capital Corp.,ECN
Eldorado Gold Corporation,ELD
Element Fleet Management Corp.,EFN
Emera Incorporated,EMA
Empire Company Limited Non-Voting Class A Shares,EMP.A
Enbridge Inc.,ENB
Endeavour Mining Corporation Ordinary Shares,EDV
Endeavour Silver Corp.,EDR
Enerplus Corporation,ERF
Enghouse Systems Limited,ENGH
Equinox Gold Corp.,EQX
Equitable Group Inc.,EQB
Ero Copper Corp.,ERO
Exchange Income Corporation,EIF
Fairfax Financial Holdings Limited Subordinate Voting Shares,FFH
Finning International Inc.,FTT
First Capital Real Estate Investment Trust,FCR.UN
First Majestic Silver Corp.,FR
First Quantum Minerals Ltd.,FM
FirstService Corporation,FSV
Fortis Inc.,FTS
Fortuna Silver Mines Inc.,FVI
Franco-Nevada Corporation,FNV
George Weston Limited,WN
GFL Environmental Inc. subordinate voting shares,GFL
Gibson Energy Inc.,GEI
Gildan Activewear Inc.,GIL
goeasy Ltd.,GSY
Granite Real Estate Investment Trust,GRT.UN
Great Canadian Gaming Corporation,GC
Great-West Lifeco Inc.,GWO
H&R Real Estate Investment Trust,HR.UN
Home Capital Group Inc.,HCG
Hudbay Minerals Inc.,HBM
Hydro One Limited,H
iA Financial Corporation Inc.,IAG
IAMGOLD Corporation,IMG
IGM Financial Inc.,IGM
Imperial Oil Limited,IMO
Innergex Renewable Energy Inc.,INE
Intact Financial Corporation,IFC
Inter Pipeline Ltd.,IPL
Interfor Corporation,IFP
InterRent Real Estate Investment Trust,IIP.UN
Intertape Polymer Group Inc.,ITP
Ivanhoe Mines Ltd.,IVN
Jamieson Wellness Inc.,JWEL
Keyera Corp.,KEY
Killam Apartment Real Estate Investment Trust,KMP.UN
Kinaxis Inc.,KXS
Kinross Gold Corporation,K
Kirkland Lake Gold Ltd.,KL
Labrador Iron Ore Royalty Corporation,LIF
Laurentian Bank of Canada,LB
Lightspeed POS Inc. Subordinate Voting Shares,LSPD
Linamar Corporation,LNR
Lithium Americas Corp.,LAC
Loblaw Companies Limited,L
Lundin Mining Corporation,LUN
MAG Silver Corp.,MAG
Magna International Inc.,MG
Manulife Financial Corporation,MFC
Maple Leaf Foods Inc.,MFI
Martinrea International Inc.,MRE
MEG Energy Corp.,MEG
Methanex Corporation,MX
Metro Inc.,MRU
Morneau Shepell Inc.,MSI
Mullen Group Ltd.,MTL
National Bank of Canada,NA
New Gold Inc.,NGD
NexGen Energy Ltd.,NXE
NFI Group Inc.,NFI
North West Company Inc. (The),NWC
Northland Power Inc.,NPI
NorthWest Healthcare Properties Real Estate Investment Trust,NWH.UN
NovaGold Resources Inc.,NG
Nutrien Ltd.,NTR
OceanaGold Corporation,OGC
ONEX Corporation Subordinate Voting Shares,ONEX
Open Text Corporation,OTEX
Organigram Holdings Inc.,OGI
Osisko Gold Royalties Ltd,OR
Osisko Mining Inc.,OSK
Pan American Silver Corp.,PAAS
Parex Resources Inc.,PXT
Parkland Corporation,PKI
Pembina Pipeline Corporation,PPL
Power Corporation of Canada Subordinate Voting Shares,POW
PrairieSky Royalty Ltd.,PSK
Premium Brands Holdings Corporation,PBH
Pretium Resources Inc.,PVG
Primo Water Corporation,PRMW
Quebecor Inc. Class B Subordinate Voting Shares,QBR.B
Real Matters Inc.,REAL
Restaurant Brands International Inc.,QSR
Richelieu Hardware Ltd.,RCH
RioCan Real Estate Investment Trust,REI.UN
Ritchie Bros. Auctioneers Incorporated,RBA
Rogers Communications Inc. Class B Non-voting Shares,RCI.B
Royal Bank of Canada,RY
Russel Metals Inc.,RUS
Sandstorm Gold Ltd.,SSL
Saputo Inc.,SAP
Seabridge Gold Inc.,SEA
Shaw Communications Inc. Class B Non-voting Shares,SJR.B
Shopify Inc. Class A Subordinate Voting Shares,SHOP
Sienna Senior Living Inc.,SIA
Silvercorp Metals Inc.,SVM
